Date,Open,Open_,High,High_,Low,Low_,Close,CC,CO,Volume
20170109,184,0,185,0.002710027,183,-0.002724796,184,0,0,5759
20170110,184.5,0.002717391,185.5,0.002702703,183.5,0.00273224,184,0,-0.5,7831
20170111,185,0.002710027,185,-0.002695418,181.5,-0.010899183,182,-2,-3,10509
20170112,182.5,-0.013513514,185.5,0.002702703,182.5,0.005509642,184.5,2.5,2,13220
20170113,180.5,-0.010958904,182.5,-0.016172507,180.5,-0.010958904,181.5,-3,1,16366
20170116,180,-0.002770083,180.5,-0.010958904,179,-0.008310249,179.5,-2,-0.5,13441
20170117,180.5,0.002777778,181,0.002770083,179.5,0.002793296,181,1.5,0.5,5771
20170118,180.5,0,181,0,179.5,0,181,0,0.5,7783
20170119,179.5,-0.005540166,181,0,179.5,0,180.5,-0.5,1,8400
20170120,181,0.008356546,181.5,0.002762431,180.5,0.005571031,181,0.5,0,7803
20170123,182.5,0.008287293,185,0.019283747,182.5,0.011080332,185,4,2.5,13560
20170124,185,0.01369863,186.5,0.008108108,184.5,0.010958904,185.5,0.5,0.5,14227
20170202,188,0.016216216,188.5,0.010723861,184,-0.002710027,184.5,-1,-3.5,21047
20170203,186,-0.010638298,186,-0.013262599,183.5,-0.002717391,184.5,0,-1.5,8079
20170206,184.5,-0.008064516,185.5,-0.002688172,184,0.002724796,184.5,0,0,8330
20170207,183.5,-0.005420054,185,-0.002695418,183,-0.005434783,184.5,0,1,8712
20170208,183.5,0,184.5,-0.002702703,183,0,183.5,-1,0,8245
20170209,184,0.002724796,185.5,0.005420054,183.5,0.00273224,184,0.5,0,6639
20170210,184.5,0.002717391,185.5,0,184,0.002724796,185.5,1.5,1,9566
20170213,186.5,0.010840108,188,0.013477089,186.5,0.013586957,187.5,2,1,10124
20170214,189,0.013404826,190,0.010638298,187.5,0.00536193,187.5,0,-1.5,11413
20170215,187,-0.010582011,189.5,-0.002631579,186.5,-0.005333333,189,1.5,2,12905
20170216,190,0.016042781,190.5,0.005277045,188,0.008042895,189,0,-1,9035
20170217,190,0,190.5,0,189,0.005319149,189.5,0.5,-0.5,7390
20170218,190,0,190.5,0,189.5,0.002645503,189.5,0,-0.5,1771
20170220,190,0,190.5,0,189.5,0,190,0.5,0,6466
20170221,190,0,190,-0.002624672,188.5,-0.005277045,190,0,0,8646
20170222,190.5,0.002631579,191,0.005263158,188.5,0,188.5,-1.5,-2,6199
20170223,188,-0.01312336,189.5,-0.007853403,187,-0.00795756,188.5,0,0.5,7885
20170224,187.5,-0.002659574,190.5,0.005277045,187.5,0.002673797,189,0.5,1.5,7417
20170301,188.5,0.005333333,188.5,-0.010498688,186,-0.008,186,-3,-2.5,12019
20170302,188,-0.00265252,188.5,0,185,-0.005376344,186,0,-2,12567
20170303,184.5,-0.018617021,185,-0.018567639,184,-0.005405405,184,-2,-0.5,11570
20170306,184,-0.002710027,184.5,-0.002702703,183.5,-0.002717391,183.5,-0.5,-0.5,5831
20170307,184,0,185.5,0.005420054,184,0.002724796,185.5,2,1.5,5824
20170308,186,0.010869565,188,0.013477089,185.5,0.008152174,187,1.5,1,9614
20170309,185.5,-0.002688172,186,-0.010638298,184,-0.008086253,184.5,-2.5,-1,12394
20170310,184,-0.008086253,184.5,-0.008064516,183,-0.005434783,183.5,-1,-0.5,10065
